Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements
Costa Rica,2015,United States,229.638,Central America,449.046,6.28210226869675,1.6839684213484016,6.076979114923963,0.5954465849387041,7.0,5.091319089549433,4.398491018647565,5.273072999713733,1.8914185639229422
Costa Rica,2016,United States,278.666,Central America,464.245,6.28210226869675,1.7479624737279675,5.366992934627236,0.08253212173491285,7.0,5.434802400082676,4.33880380823338,5.326319219782295,1.9614711033274956
Costa Rica,2017,United States,253.502,Central America,587.995,6.28210226869675,1.7479624737279675,5.366992934627236,0.08253212173491285,7.0,5.434802400082676,4.33880380823338,5.326319219782295,1.9614711033274956
Costa Rica,2014,Canada,172.73,United States,0.0,5.739426428528804,1.6839684213484016,6.076979114923963,0.5954465849387041,7.0,5.091319089549433,4.398491018647565,5.273072999713733,1.8914185639229422
Costa Rica,2015,Canada,175.771,United States,229.638,5.739426428528804,1.6839684213484016,6.076979114923963,0.5954465849387041,7.0,5.091319089549433,4.398491018647565,5.273072999713733,1.8914185639229422
Costa Rica,2016,Canada,188.104,United States,278.666,5.739426428528804,1.7479624737279675,5.366992934627236,0.08253212173491285,7.0,5.434802400082676,4.33880380823338,5.326319219782295,1.9614711033274956
Costa Rica,2017,Canada,201.921,United States,253.502,5.739426428528804,1.7479624737279675,5.366992934627236,0.08253212173491285,7.0,5.434802400082676,4.33880380823338,5.326319219782295,1.9614711033274956
Croatia,2014,Germany,308.0,Bosnia and Herzegovina,523.0,6.834512521964166,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2015,Germany,261.0,Bosnia and Herzegovina,404.0,6.834512521964166,2.665695262958259,5.805416774973477,0.0840630472854641,6.9785,3.7976300718368377,4.284863003801394,6.34809086920392,1.6112084063047285
Croatia,2016,Germany,278.0,Bosnia and Herzegovina,283.0,6.834512521964166,2.766214259585217,5.236226873686819,0.07935416017572165,6.9811449627337225,4.495361118798348,4.447005420461895,6.259391795889975,1.681260945709282
