Country,Year,Inbound Country,Inbound Visitors,Outbound Country,Outbound Visitors,Distance,Cultural,Government_prioritization,Segurity_homocide,Segurity_terrorism,Natural_resources,Price_competitiveness,Service_infrastructure,Visa_requirements,Inbound Visitors Predict
Costa Rica,2018,Canada,217.006,United States,250.75,5.739426428528804,1.6158796302812934,6.016098976,0.8339741929623655,7.0,4.859704919894979,5.097589252310691,5.365524314731474,2.031523642732049,1363.5
Croatia,2018,Germany,326.0,Bosnia and Herzegovina,390.0,6.834512521964166,2.7624711776502924,5.885008812,0.07317929787553516,6.999672241210938,4.442919789650415,5.047400848853754,6.4846351147500005,1.681260945709282,2606.4
Croatia,2018,Austria,166.0,Germany,326.0,6.964290211995103,2.7624711776502924,5.885008812,0.07317929787553516,6.999672241210938,4.442919789650415,5.047400848853754,6.4846351147500005,1.681260945709282,2683.8
Croatia,2018,Slovenia,171.0,Italy,213.0,7.0,2.7624711776502924,5.885008812,0.07317929787553516,6.999672241210938,4.442919789650415,5.047400848853754,6.4846351147500005,1.681260945709282,2705.1
Croatia,2018,Italy,213.0,Slovenia,171.0,6.922787033022609,2.7624711776502924,5.885008812,0.07317929787553516,6.999672241210938,4.442919789650415,5.047400848853754,6.4846351147500005,1.681260945709282,2659.1
Croatia,2018,Czech Republic,755.104,Austria,166.0,6.90881606364639,2.7624711776502924,5.885008812,0.07317929787553516,6.999672241210938,4.442919789650415,5.047400848853754,6.4846351147500005,1.681260945709282,2650.8
Estonia,2018,Finland,519.78,Finland,519.78,6.941664012581427,1.5612476003304765,5.008151054,0.22368734742251078,6.999156799316406,2.395557036606456,5.404042670190923,5.407286807745931,1.681260945709282,88.3
Estonia,2018,Latvia,301.194,Russian Federation,254.581,6.982706267529702,1.5612476003304765,5.008151054,0.22368734742251078,6.999156799316406,2.395557036606456,5.404042670190923,5.407286807745931,1.681260945709282,112.7
Estonia,2018,Germany,213.137,Sweden,218.809,6.618816045640033,1.5612476003304765,5.008151054,0.22368734742251078,6.999156799316406,2.395557036606456,5.404042670190923,5.407286807745931,1.681260945709282,0.0
Estonia,2018,Sweden,218.809,Germany,213.137,6.86324032131441,1.5612476003304765,5.008151054,0.22368734742251078,6.999156799316406,2.395557036606456,5.404042670190923,5.407286807745931,1.681260945709282,41.5
Finland,2018,Germany,500.0,Estonia,1670.0,6.560099691795884,2.014891056527876,5.132038116,0.09931834509152186,6.97884765625,2.9249150479999315,4.671166147099276,4.658183530306655,1.681260945709282,0.0
Finland,2018,United Kingdom,229.992,Spain,880.0,6.280437227183312,2.014891056527876,5.132038116,0.09931834509152186,6.97884765625,2.9249150479999315,4.671166147099276,4.658183530306655,1.681260945709282,0.0
Finland,2018,China,202.697,Germany,500.0,4.964137964180775,2.014891056527876,5.132038116,0.09931834509152186,6.97884765625,2.9249150479999315,4.671166147099276,4.658183530306655,1.681260945709282,0.0
Finland,2018,United States,139.138,Russian Federation,300.0,3.933373492902204,2.014891056527876,5.132038116,0.09931834509152186,6.97884765625,2.9249150479999315,4.671166147099276,4.658183530306655,1.681260945709282,0.0
France,2018,United Kingdom,13007.825,Spain,4526.149671,6.758391188398838,6.803125,5.592483997,0.09472412232562821,6.547805480957031,4.923045835492916,4.525440788698814,5.69038064599984,1.681260945709282,5435.0
France,2018,Germany,12272.217,Italy,3311.1915400000003,6.78707553776687,6.803125,5.592483997,0.09472412232562821,6.547805480957031,4.923045835492916,4.525440788698814,5.69038064599984,1.681260945709282,5452.1
France,2018,Belgium,1726.655961,Great Britain,1803.960402,6.906082319092339,6.803125,5.592483997,0.09472412232562821,6.547805480957031,4.923045835492916,4.525440788698814,5.69038064599984,1.681260945709282,5523.1
France,2018,Italy,3311.1915400000003,Belgium,1726.655961,6.74645207499553,6.803125,5.592483997,0.09472412232562821,6.547805480957031,4.923045835492916,4.525440788698814,5.69038064599984,1.681260945709282,5427.9
France,2018,Switzerland,6771.926,Portugal,1626.6717409999999,6.875947109345373,6.803125,5.592483997,0.09472412232562821,6.547805480957031,4.923045835492916,4.525440788698814,5.69038064599984,1.681260945709282,5505.1
Germany,2018,Netherlands,7413.346751,Austria,14395.60324,6.895724194106959,6.464285714285714,5.173845768,0.08239529605936205,6.805259094238282,4.059836358027684,4.606342777280895,5.948770011339802,1.681260945709282,4384.9
Germany,2018,Switzerland,3295.205,Italy,13572.692388,6.90487473647205,6.464285714285714,5.173845768,0.08239529605936205,6.805259094238282,4.059836358027684,4.606342777280895,5.948770011339802,1.681260945709282,4390.4
Germany,2018,United States,2964.24,Spain,11671.678424,4.354566616376985,6.464285714285714,5.173845768,0.08239529605936205,6.805259094238282,4.059836358027684,4.606342777280895,5.948770011339802,1.681260945709282,2869.8
Germany,2018,United Kingdom,2674.111,Netherlands,7413.346751,6.664616736945492,6.464285714285714,5.173845768,0.08239529605936205,6.805259094238282,4.059836358027684,4.606342777280895,5.948770011339802,1.681260945709282,4247.1
Germany,2018,Italy,13572.692388,France,6143.330822,6.788894090151406,6.464285714285714,5.173845768,0.08239529605936205,6.805259094238282,4.059836358027684,4.606342777280895,5.948770011339802,1.681260945709282,4321.2
Greece,2018,Germany,499.629,Bulgaria,2370.92,6.612536866993909,3.3269690827552347,5.748278618,0.05256401671559899,6.839704895019532,3.520064527072725,4.863980584361521,5.750487024430832,1.681260945709282,1760.5
Greece,2018,Bulgaria,2370.92,Former Yugoslav Republic of Macedonia,1352.051,6.897550828252988,3.3269690827552347,5.748278618,0.05256401671559899,6.839704895019532,3.520064527072725,4.863980584361521,5.750487024430832,1.681260945709282,1930.5
Greece,2018,United Kingdom,2942.763,Turkey,967.166,6.276554198077883,3.3269690827552347,5.748278618,0.05256401671559899,6.839704895019532,3.520064527072725,4.863980584361521,5.750487024430832,1.681260945709282,1560.2
Greece,2018,Italy,404.968,Germany,499.629,6.785427937470522,3.3269690827552347,5.748278618,0.05256401671559899,6.839704895019532,3.520064527072725,4.863980584361521,5.750487024430832,1.681260945709282,1863.6
Greece,2018,France,1524.001,Italy,404.968,6.505868677585496,3.3269690827552347,5.748278618,0.05256401671559899,6.839704895019532,3.520064527072725,4.863980584361521,5.750487024430832,1.681260945709282,1697.0
Hungary,2018,Germany,899.0,Germany,899.0,6.779763600056363,2.3292257784900525,5.078760147,0.14511378899399882,6.997072143554687,2.705659334902222,5.265380608278015,4.750253912796218,1.681260945709282,402.3
Hungary,2018,Romania,774.0,Slovak Republic,876.0,6.887046130839589,2.3292257784900525,5.078760147,0.14511378899399882,6.997072143554687,2.705659334902222,5.265380608278015,4.750253912796218,1.681260945709282,466.3
Hungary,2018,Austria,808.0,Austria,808.0,6.902816078920482,2.3292257784900525,5.078760147,0.14511378899399882,6.997072143554687,2.705659334902222,5.265380608278015,4.750253912796218,1.681260945709282,475.7
Hungary,2018,Czech Republic,641.0,Czech Republic,641.0,6.906299299863628,2.3292257784900525,5.078760147,0.14511378899399882,6.997072143554687,2.705659334902222,5.265380608278015,4.750253912796218,1.681260945709282,477.8
Italy,2018,Germany,3048.410756,France,5786.9583729999995,6.788894090151406,6.52440301756813,4.928090572,0.04714978373508232,6.958541259765625,4.894479461864243,4.442981299454914,6.012341552135005,1.681260945709282,4971.9
Italy,2018,France,5786.9583729999995,Spain,3566.726099,6.74645207499553,6.52440301756813,4.928090572,0.04714978373508232,6.958541259765625,4.894479461864243,4.442981299454914,6.012341552135005,1.681260945709282,4946.6
Italy,2018,United Kingdom,1606.132777,Germany,3048.410756,6.504211857278342,6.52440301756813,4.928090572,0.04714978373508232,6.958541259765625,4.894479461864243,4.442981299454914,6.012341552135005,1.681260945709282,4802.1
Italy,2018,Austria,2190.568311,Austria,2190.568311,6.877451471563594,6.52440301756813,4.928090572,0.04714978373508232,6.958541259765625,4.894479461864243,4.442981299454914,6.012341552135005,1.681260945709282,5024.7
Italy,2018,United States,3693.998,United Kingdom,1606.132777,4.322319752254007,6.52440301756813,4.928090572,0.04714978373508232,6.958541259765625,4.894479461864243,4.442981299454914,6.012341552135005,1.681260945709282,3501.2
Latvia,2018,Lithuania,156.905,Estonia,206.32,6.980403780336591,1.3679604011069293,4.24372673,0.2355400858100481,6.998313598632812,2.395136328235199,5.670098253009257,4.51085767837635,1.681260945709282,0.0
